Country,Region,Continent,Year,InfantMortality,LifeExpectancy,LifeExpectancyFemales,LifeExpectancyMales,TotalFertilityRate,MaternalMortalityRatio,PopulationAnnualRate
Afghanistan,Southern Asia,Asia,2010,72.2,59.6,61,58.3,6.5,954,2.6
Afghanistan,Southern Asia,Asia,2015,60.1,62.3,63.8,60.9,5.4,701,3.3
Afghanistan,Southern Asia,Asia,2020,51.7,64.3,65.8,62.9,4.6,,2.5
Albania,Southern Europe,Europe,2010,16.8,75.6,78.5,73.2,1.6,21,-0.9
Albania,Southern Europe,Europe,2015,9.2,77.5,80,75.2,1.7,15,-0.4
Albania,Southern Europe,Europe,2020,8,78.4,80.1,76.7,1.6,,-0.1
Algeria,Northern Africa,Africa,2010,29.4,74.2,75.4,73,2.7,115,1.6
Algeria,Northern Africa,Africa,2015,24.9,75.5,76.7,74.4,3,114,2
Algeria,Northern Africa,Africa,2020,21.2,76.6,77.8,75.4,3.1,,2
Angola,Middle Africa,Africa,2010,104.2,52.7,55.3,50.3,6.4,326,3.7
Angola,Middle Africa,Africa,2015,78.2,57.7,60.5,55.2,6,251,3.5
Angola,Middle Africa,Africa,2020,61.5,60.5,63.4,57.8,5.6,,3.3
Antigua and Barbuda,Caribbean,North America,2010,9,75.5,76.8,74.1,2,44,1.6
Antigua and Barbuda,Caribbean,North America,2015,6.8,76.1,77.4,74.8,2,43,1.2
Antigua and Barbuda,Caribbean,North America,2020,5.2,76.8,77.9,75.7,2,,0.9
Argentina,South America,South America,2010,14.2,74.9,78.2,71.4,2.4,51,1
Argentina,South America,South America,2015,12.1,75.7,79,72.2,2.3,41,1
Argentina,South America,South America,2020,10.2,76.4,79.8,73,2.3,,1
Armenia,Western Asia,Asia,2010,21,72.7,75.8,69.4,1.7,32,-0.7
Armenia,Western Asia,Asia,2015,13.2,74,77,70.6,1.7,28,0.3
Armenia,Western Asia,Asia,2020,10.8,74.9,78.3,71.1,1.8,,0.3
Aruba,Caribbean,North America,2010,16.2,74.7,77.1,72.2,1.8,,0.3
Aruba,Caribbean,North America,2015,14.8,75.4,77.8,72.9,1.8,,0.5
Aruba,Caribbean,North America,2020,13.6,76.1,78.4,73.6,1.9,,0.5
Australia,Australia and New Zealand,Oceania,2010,4.4,81.5,83.8,79.2,2,5,1.9
Australia,Australia and New Zealand,Oceania,2015,3.6,82.4,84.5,80.3,1.9,6,1.5
Australia,Australia and New Zealand,Oceania,2020,3.1,83.2,85.2,81.2,1.8,,1.3
Austria,Western Europe,Europe,2010,3.8,80.1,82.8,77.3,1.4,5,0.4
Austria,Western Europe,Europe,2015,3.3,81,83.5,78.4,1.4,5,0.6
Austria,Western Europe,Europe,2020,3.2,81.4,83.8,78.9,1.5,,0.7
Azerbaijan,Western Asia,Asia,2010,40.7,70.1,73.4,66.9,1.8,31,1.1
Azerbaijan,Western Asia,Asia,2015,31.4,71.6,74.6,68.6,2.1,27,1.3
Azerbaijan,Western Asia,Asia,2020,20.8,72.8,75.3,70.3,2.1,,1
Bahamas,Caribbean,North America,2010,11.3,72,74.7,69.3,1.9,78,1.8
Bahamas,Caribbean,North America,2015,8,72.5,74.8,70.1,1.8,74,1.1
Bahamas,Caribbean,North America,2020,5.9,73.7,75.9,71.5,1.8,,1
Bahrain,Western Asia,Asia,2010,7.9,75.7,76.7,74.9,2.3,18,6.7
Bahrain,Western Asia,Asia,2015,6.9,76.4,77.5,75.6,2.1,15,2
Bahrain,Western Asia,Asia,2020,6,77.1,78.2,76.3,2,,4.3
Bangladesh,Southern Asia,Asia,2010,43.3,68.8,70,67.8,2.5,258,1.2
Bangladesh,Southern Asia,Asia,2015,33.2,70.8,72.4,69.4,2.2,200,1.1
Bangladesh,Southern Asia,Asia,2020,26.8,72.2,74.1,70.5,2.1,,1.1
Barbados,Caribbean,North America,2010,12.6,78.1,79.7,76.5,1.8,36,0.4
Barbados,Caribbean,North America,2015,11.5,78.6,80,77.1,1.6,31,0.2
